id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
6137,boardgame,Drive,2003,2,4,30,30,30,8,434,6.53616,5.89638,544,42,64,183,240,55,1.2727
3416,boardgame,Fallschirmjaeger,2001,2,2,360,360,360,12,144,7.8204,5.89569,399,4,79,101,85,21,3
123045,boardgame,Uncharted: The Board Game,2012,1,4,45,45,45,13,342,6.74461,5.89567,943,91,33,134,130,27,2.3333
711,boardgame,Elfenroads,1992,2,6,120,120,120,10,240,7.15471,5.89521,284,8,53,79,87,17,2.4706
150146,boardgame,Rattlebones,2014,2,4,30,15,30,14,322,6.75248,5.89505,489,19,92,267,106,34,1.5882
950,boardgame,Dia de los Muertos,2000,3,4,30,30,30,12,368,6.64874,5.89452,645,37,41,89,222,44,2.3636
431,boardgame,Alhambra: The Card Game,1992,3,6,45,45,45,10,506,6.43014,5.89429,1149,91,22,70,207,41,1.6829
37461,boardgame,Krakw 1325 AD,2008,4,4,45,45,45,0,493,6.45375,5.89421,498,25,68,203,196,74,2.4324
136558,boardgame,Expedition: Famous Explorers,2013,2,6,90,90,90,13,243,6.99132,5.89416,640,31,56,166,100,25,1.96
14634,boardgame,Homeworlds,2001,2,6,15,15,15,10,199,7.32216,5.89365,228,0,5,58,98,34,3.2647
57,boardgame,Schoko & Co.,1987,2,4,180,180,180,13,342,6.6965,5.89302,650,41,25,38,110,45,2.9333
4958,boardgame,Ardennes,1994,2,4,180,180,180,12,266,7.01758,5.89245,620,21,28,42,110,41,2.8537
9829,boardgame,Runebound (First Edition),2004,1,6,120,120,120,12,1420,6.19447,5.89237,1491,133,31,128,677,162,2.5247
29875,boardgame,"Barbarossa: Kiev to Rostov, 1941",2008,1,4,240,240,240,12,157,7.81911,5.89229,705,26,22,55,84,39,4.2051
16000,boardgame,1825 Unit 2,2000,2,4,180,180,180,12,159,7.55409,5.89156,307,2,73,103,65,12,3.5
147707,boardgame,Mush! Mush!: Snow Tails 2,2013,2,8,30,30,30,12,245,7.00367,5.89134,444,19,77,213,84,24,1.9167
963,boardgame,The Gardens of the Alhambra,1993,2,4,60,45,60,8,1068,6.1582,5.89127,1527,92,39,104,334,104,1.8173
4401,boardgame,Canal Grande,2002,2,2,45,45,45,12,518,6.42683,5.89123,864,36,57,90,227,58,2.0517
148271,boardgame,Metallum,2013,2,2,60,60,60,10,191,7.36466,5.89115,301,10,44,170,41,21,2.6667
4488,boardgame,Scarab Lords,2002,2,2,30,30,30,12,1397,6.09825,5.89115,2224,205,28,107,586,157,1.9108
32424,boardgame,1848: Australia,2007,3,6,360,360,360,0,132,7.86477,5.89095,141,0,37,65,58,14,3.9286
137155,boardgame,Potato Man,2013,2,5,40,40,40,10,335,6.67836,5.8908,475,16,34,101,103,39,1.3846
7843,boardgame,Caesar: Conquest of Gaul,1998,2,4,240,240,240,12,195,7.36395,5.89074,913,26,31,55,85,46,3.5217
46158,boardgame,Time's Up! Academy,2009,4,12,30,30,30,12,182,7.39451,5.88984,373,0,6,25,28,5,1
5452,boardgame,DAK,1997,2,2,360,360,360,16,137,8.09671,5.88976,376,13,15,31,61,24,3.9583
9735,boardgame,Duell,2004,2,2,30,30,30,9,556,6.36176,5.88968,641,36,52,127,277,61,1.3607
137651,boardgame,What's He Building in There?,2013,2,6,60,60,60,12,280,6.86471,5.88908,515,25,48,169,80,25,3.32
81250,boardgame,Stich-Meister,2010,3,5,45,45,45,10,288,6.79965,5.88891,485,14,31,66,89,30,1.8333
182,boardgame,Knights of Charlemagne,1995,2,4,30,30,30,8,575,6.36147,5.88873,850,84,18,76,309,83,1.4337
3318,boardgame,Heave Ho!,2002,2,2,45,45,45,10,802,6.24707,5.8887,1104,46,69,130,325,81,1.3086
145012,boardgame,Sultaniya,2014,2,4,45,45,45,8,335,6.716,5.88864,498,20,56,209,72,25,2.12
30328,boardgame,Battleground: Crossbows & Catapults War Chest Starter Set,2007,2,2,60,60,60,6,470,6.57006,5.88853,897,72,34,85,252,67,1.3433
548,boardgame,Buck Rogers: Battle for the 25th Century Game,1988,2,6,120,120,120,10,644,6.40464,5.88831,1218,84,62,129,277,69,2.6667
222,boardgame,Space Beans,1999,2,6,40,40,40,10,1210,6.10794,5.88814,1852,81,29,62,380,115,1.3913
172547,boardgame,Queen's Architect,2015,2,4,60,60,60,10,200,7.29996,5.88804,403,9,143,487,57,25,2.68
1577,boardgame,Source of the Nile,1978,1,6,180,180,180,12,470,6.45881,5.88798,1106,58,57,125,220,58,2.8103
5451,boardgame,Hanafuda,1701,2,7,60,60,60,8,368,6.64973,5.88779,904,15,8,79,155,28,1.6786
101865,boardgame,Saga,2011,2,4,0,0,0,0,136,8.08382,5.88739,283,5,17,44,44,24,2.2083
68603,boardgame,Popular Front,2010,2,6,90,90,90,12,216,7.17269,5.8872,326,16,58,151,99,32,2.2188
24770,boardgame,Quietville,2006,3,5,30,30,30,8,875,6.1963,5.88692,1059,81,25,95,365,122,1.418
12194,boardgame,Munchkin Bites!,2004,3,6,90,90,90,10,2123,6.13194,5.88681,4207,184,31,148,430,181,1.779
31506,boardgame,Ziegen Kriegen,2007,3,6,15,15,15,8,968,6.16204,5.88671,1250,46,25,85,279,110,1.2273
72132,boardgame,Dragon Rampage,2012,3,5,120,90,120,13,404,6.57344,5.88618,711,54,48,218,151,51,2.0784
10641,boardgame,"Barbarossa: Army Group South, 1941",1996,1,4,240,240,240,12,136,7.96675,5.88604,450,7,40,70,70,30,4.1667
7092,boardgame,Battles for the Ardennes,1978,2,4,90,90,90,12,214,7.27126,5.88595,574,27,22,29,128,54,2.8333
22303,boardgame,Celebrities,0,4,30,90,90,90,0,193,7.2829,5.88589,68,1,3,29,99,27,1.2222
2800,boardgame,The Ironclads,1979,1,8,120,120,120,12,211,7.21034,5.88585,537,30,24,64,122,33,3.4848
67600,boardgame,D-Day at Tarawa,2014,1,1,0,0,0,0,109,8.61009,5.88541,614,6,78,239,47,20,3.4
33924,boardgame,Nightfighter,2011,1,2,60,60,60,0,185,7.43281,5.88501,694,37,25,95,105,43,2.5814
36325,boardgame,Down in Flames: Aces High,2008,2,6,45,45,45,0,221,7.11968,5.88469,456,23,29,109,101,46,2.1304
460,boardgame,Railway Rivals,1973,2,6,90,90,90,10,330,6.74892,5.88464,507,14,24,37,145,36,2.3333
259,boardgame,Atlantic Storm,1997,2,6,60,60,60,10,461,6.51838,5.88335,552,20,60,88,194,55,2.0545
7086,boardgame,Guilford,2002,1,2,180,180,180,12,223,7.07866,5.88335,595,10,39,92,111,36,2.6389
1576,boardgame,Gettysburg (125th Anniversary edition),1988,2,2,90,90,90,12,433,6.53411,5.88333,865,65,20,38,195,65,1.9846
17988,boardgame,Die Dolmengtter,2005,2,5,30,30,30,10,393,6.54191,5.88302,417,23,53,115,174,57,2.193
97,boardgame,Conquest of the Empire,1984,2,6,180,180,180,10,852,6.30516,5.88247,1337,86,46,90,351,74,2.5405
175293,boardgame,Trambahn,2015,2,2,45,30,45,8,201,7.27119,5.88243,519,3,68,287,52,25,2
102610,boardgame,Shitenno,2011,2,4,60,60,60,12,272,6.82875,5.88235,434,22,32,117,82,30,2.7333
24396,boardgame,War on Terror,2006,3,6,120,120,120,14,991,6.29,5.88228,1416,91,62,252,371,126,2.4762
310,boardgame,Wizard's Quest,1979,2,6,180,180,180,12,1156,6.15413,5.88204,2602,235,26,104,519,157,2.293
132544,boardgame,Tesla vs. Edison: War of Currents,2015,2,5,90,90,90,14,200,7.28675,5.88193,710,18,104,425,104,54,3.2593
148205,boardgame,Penny Press,2015,2,5,60,45,60,13,238,7.01105,5.88173,653,24,101,369,89,24,2.125
8126,boardgame,Maya,2003,3,5,90,90,90,9,547,6.35135,5.88145,867,85,18,55,212,51,2.4902
